rating,rating_raw,date,content
4.5,"★★★★½","2026-01-18","★★★★½ Watched by veyll 18 Jan 2026 Çocuklara umut satıyor gibi yapıp, yetişkinlere ayna tutuyor. Asıl sorun kim olduğumuz değil, bizi neye indirgedikleri. Ve bizde buna kanıyoruz aslında her şey çok belli ama gerçek buymuş gibi gösterilir No likes yet"
5,"★★★★★","2026-01-17","★★★★★ Rewatched by emily 17 Jan 2026 absolute cinema. No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Rewatched by Ivy 18 Jan 2026 evie couldnt take her eyes off the damn fox No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Watched by ebrar_6761 18 Jan 2026 asiri nostaljik No likes yet"
4.5,"★★★★½","2025-11-19","★★★★½ Rewatched by MarkoDj 19 Nov 2025 Briliant Zootopia with wonderful animation and story that resembling with the human society, innequality, prejustice, rasizm. Always happy to go back to this film and specially the slot scene. No likes yet"
4.5,"★★★★½","2026-01-17","★★★★½ Watched by gio_b 17 Jan 2026 GRANDE FILME, a coelhinha judy me ensinou muita coisa kkkkkkkkk No likes yet"
4,"★★★★","2026-01-18","★★★★ Rewatched by angela 18 Jan 2026 optimistic lang talaga ako on a facade pero pag inaanalyze ko sarili ko mas di talaga mas pessimist nga ako e kaya sobrang believer talaga ako niyang we cant be everything we want to be kasi nga di naman lahat magaling ??? hahaha eme pero ano edi ayun di naman nga lahat privilege at nabibigyan ng equal opportunities sobrang malas lang na ganon siguro ako kaya ala akong choice sa buhay kundi magpakahopecore na yes i can be anything and… more No likes yet"
3.5,"★★★½","2026-01-17","★★★½ Rewatched by coffee_cass 17 Jan 2026 My main comment is just that I love Jason Bateman in a good role. No likes yet"
3.5,"★★★½","2025-12-25","★★★½ Rewatched by Cassidy 25 Dec 2025 My Dad's family's choice of christmas film No likes yet"
,"","2026-01-18","Watched by ana 18 Jan 2026 esperava muito mais do que me foi entregue No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by stephanie240 18 Jan 2026 *tears in my eyes* I get it now 2 likes"
4.5,"★★★★½","2026-01-18","★★★★½ Watched by gwiz 18 Jan 2026 nick wilde knew exactly what he was doing 👅 No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Watched by cansu 18 Jan 2026 en mukemmel animasyon filmidir aksini diyen olamaz :) No likes yet"
4.5,"★★★★½","2026-01-18","★★★★½ Watched by anton 18 Jan 2026 the godfather scene and flash give me life 1 like"
5,"★★★★★","2026-01-18","★★★★★ Watched by AliakaAli 18 Jan 2026 Hear me out.. No likes yet"
5,"★★★★★","2018-01-11","★★★★★ Rewatched by Fath Diant 11 Jan 2018 ts peak ❤️‍🩹 (i forgot the date again) No likes yet"
2.5,"★★½","2026-01-18","★★½ Watched by JaninaOk 18 Jan 2026 spoko ale animacja zostawia troszke do zyczenia, Postac nicka jest rozwinieta bardzo i jak najabrdziej mi to odpowiada No likes yet"
4,"★★★★","2026-01-18","★★★★ Rewatched by leiruuu 18 Jan 2026 que sean policías le quita estrellas No likes yet"
,"","2026-01-18T14:07:10.165Z","Added by ninji 18 Jan 2026 i actually didnt watch this again i just want to say that the translation from chinese for zootopia is super beast metropolis okay thanjks you can leave now No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Watched by narayyi 18 Jan 2026 rubah dan kelinci digabung jadi…? No likes yet"
3,"★★★","2026-01-18","★★★ Watched by eviejr12 18 Jan 2026 overrated but fire No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by Chantel Hiden-Livingstone 18 Jan 2026 i love children’s films with real issues at the heart !!! No likes yet"
3.5,"★★★½","2026-01-18","★★★½ Watched by luna 18 Jan 2026 che comunque è un film simpatico. (voglio nick wilde) No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by nicolestvdiary 18 Jan 2026 I loved The Godfather reference 🥲 No likes yet"
3,"★★★","2026-01-18","★★★ Watched by axelle_mno 18 Jan 2026 Trop bien, trop drôle, des belles refs j’adore No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by Çaptan 18 Jan 2026 W my lovie🐳 No likes yet"
3.5,"★★★½","2026-01-18","★★★½ Watched by jasmine 18 Jan 2026 Judy Hopps and Nick Wilde might be the main characters but Flash the sloth is the star No likes yet"
3.5,"★★★½","2026-01-18T13:48:22.342Z","★★★½ Added by LiLu08 18 Jan 2026 hear me out the fox 😝 hot lad No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Watched by lalatralala najaaeem 18 Jan 2026 mauuu nonton plissss 🥹 kasih tauu dongg dimana nonton nyaaa ☺ No likes yet"
4,"★★★★","2026-01-18T13:46:19.757Z","★★★★ Added by bytriz 18 Jan 2026 Uma das melhores animações e que me fez torcer para uma raposa e uma coelha ficarem juntas. No likes yet"
4,"★★★★","2026-01-18","★★★★ Rewatched by Kate 18 Jan 2026 i’m sorry it’s just too good No likes yet"
3.5,"★★★½","2026-01-18","★★★½ Watched by smhcktt 18 Jan 2026 Hangover wholesomeness No likes yet"
3.5,"★★★½","2026-01-18","★★★½ Watched by Asma Afrooz 18 Jan 2026 Copaganda ass bunny No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Watched by dnizzlecter 18 Jan 2026 Anne ben bir tilkiye asik oldm.😭😭 No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Watched by GregorVogel 18 Jan 2026 Banger No likes yet"
3.5,"★★★½","2026-01-18","★★★½ Watched by swtworldtour 18 Jan 2026 We should take inspo from zootopia for living No likes yet"
3.5,"★★★½","2026-01-18","★★★½ Watched by Paloma 18 Jan 2026 Se han tenido que hacer tantos fanfics de esto.....escalofríos No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Watched by orangkaya_ 18 Jan 2026 baru kali ini mau sama rubah 😔😔😔 No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by cobalt7ecrin 18 Jan 2026 kesinlikle çok iyidi.Tilki favorim No likes yet"
3.5,"★★★½","2026-01-18","★★★½ Watched by Liamc1997 18 Jan 2026 So is the lion the mayor again or nah No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by haticee 18 Jan 2026 ben bu animasyonu 2025te izleyen bi malım No likes yet"
3.5,"★★★½","2026-01-18","★★★½ Rewatched by kyojinn 18 Jan 2026 judy hops can get it. No likes yet"
4.5,"★★★★½","2026-01-18","★★★★½ Watched by ghinaasls 18 Jan 2026 the assistant mayor already looks sus since day 1 sihhh, love nick that kinda weird but gentle^^ No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by tzitziki 18 Jan 2026 Woah No likes yet"
3.5,"★★★½","2026-01-14","★★★½ Rewatched by Uzsa 14 Jan 2026 Zootopia is a good animated film. The animation is very polished and the characters are endearing. The plot is decent overall. No likes yet"
4,"★★★★","2026-01-15","★★★★ Watched by ishari 15 Jan 2026 i love judy No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by ritika 18 Jan 2026 Welcome back animal farm, I miss you orwell :( 2 likes"
4.5,"★★★★½","2026-01-14","★★★★½ Watched by eshydb 14 Jan 2026 As good as I remembered it! No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by fuseteamangolu 18 Jan 2026 Tilki de tam benlik No likes yet"
4,"★★★★","2023-02-15","★★★★ Watched by Alperen 15 Feb 2023 Animasyonsal No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by Anakin Oliveira 18 Jan 2026 Já edito No likes yet"
5,"★★★★★","2026-01-18T12:56:01.632Z","★★★★★ Added by Maya_Pinion 18 Jan 2026 Good movie ngl and good twist No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Watched by tataykatelyn 18 Jan 2026 like absolutely No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by eleattka 18 Jan 2026 Trop bien mais un peu goofy à mon goût No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Watched by kat 18 Jan 2026 de acordo com a nono ""filme muito bem realizado com personagens boas e ...... não sei. não tenho mais palavras porque o filme estava muito giro e fantástico."" No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Rewatched by Hennesssy 18 Jan 2026 Ekte 2016 vibes No likes yet"
5,"★★★★★","2021-09-23","★★★★★ Watched by unaa 23 Sep 2021 aku suka zootopia yg bikin zootopia masuk surga plis No likes yet"
3,"★★★","2026-01-18","★★★ Watched by rubnn 18 Jan 2026 Sympathique No likes yet"
4.5,"★★★★½","2026-01-18","★★★★½ Watched by bellaoshea_ 18 Jan 2026 art always replicates culture and politics No likes yet"
3.5,"★★★½","2026-01-18","★★★½ Rewatched by Maxim 18 Jan 2026 Zootopia: where discrimination is bad and sheep are worse No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by Morgane 18 Jan 2026 mignon comme tout No likes yet"
4.5,"★★★★½","2026-01-18","★★★★½ Watched by Ching Tao 18 Jan 2026 Banger fox No likes yet"
5,"★★★★★","2016-03-24","★★★★★ Rewatched by cleo Paul 24 Mar 2016 LOVE love love No likes yet"
4.5,"★★★★½","2026-01-16","★★★★½ Watched by Rafael Ortiz 16 Jan 2026 timeless animation, this is a classic, i was so moved, what a story, what a message, everyone needs to see this 2 likes"
4,"★★★★","2017-04-05","★★★★ Watched by maiyasmina 05 Apr 2017 crzy plot twist.. why do I find that fucking nonchalant fox fine D: No likes yet"
5,"★★★★★","2025-11-30","★★★★★ Watched by sabina 30 Nov 2025 the final scene was even more impressive than the kissing scene, WOW No likes yet"
2,"★★","2026-01-16","★★ Rewatched by Edu 16 Jan 2026 ""¡No, no por favor!"" ""¡Ni se te ocurra parar ahora!"" Este diálogo pertenece a una escena en la que un villano corre frente a un tren en marcha, suplicándole a los personajes principales que se detengan y la protagonista, con la cual se supone que debemos empatizar, se niega únicamente por sus intereses propios. Me gustaría usar esta escena como una breve introducción a la moral corrupta de esta cinta. A la hora de escrbir esta película parece que a… more No likes yet"
3.5,"★★★½","2026-01-18","★★★½ Watched by Tiago Bachetta 18 Jan 2026 I loved this movie good animation good meaning inside the story and cute to see a animal society No likes yet"
5,"★★★★★","2026-01-17","★★★★★ Rewatched by minerviene 17 Jan 2026 Es un peliculón. Tiene intriga, tiene comedia, superación, aceptación y Shakira cantando siendo una gacela.  Lo chulísima que es la ciudad, yo quiero vivir ahí. La animación es brutal. Y lo monismos que son los animales de pequeños.  También muy guay todas las referencias que hay, a otras pelis de Disney, atocha o el Padrino. Además que la administración pública sean perezosos, una genialidad. No likes yet"
4,"★★★★","2026-01-18","★★★★ Rewatched by Deniz 18 Jan 2026 Ayyyy tatlılıklarından bayıldım bayıldım No likes yet"
3.5,"★★★½","2026-01-18","★★★½ Rewatched by rcholic 18 Jan 2026 Nick Wilde🤤🤤🤤 No likes yet"
4.5,"★★★★½","2026-01-18","★★★★½ Watched by apollo kagwa 18 Jan 2026 well, maybe I'm a furry all of the sudden No likes yet"
2,"★★","2026-01-18","★★ Watched by liamweth 18 Jan 2026 Meh bunny is fit ig. 1 like"
4,"★★★★","2026-01-17","★★★★ Watched by X33X33 17 Jan 2026 J'avais trop la flemme quand on m'a fait regarder ça, mais en vrai c'était cool. Un bon Disney qui dénonce pas mal de choses No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Rewatched by propertyinegypt 18 Jan 2026 - Judy Hoops “You know who I am! You know what I am! You know what’s at stake for me since we met! And you know full well that I did everything for my career!” - Nick Wilde “Yes, I do know. It seems like we would KILL our baby for our career.” No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Watched by propertyinegypt 18 Jan 2026 Judy hopps 🤤🤤🤤🥵🥵🥵 No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by stexdu29 18 Jan 2026 Banger No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by KillianJLN 18 Jan 2026 Très bon film ! On suit l’histoire de Judy, une lapine qui rêve d’être dans la police et qui va tout faite pour prouver qu’elle mérite sa place. À travers ce film, nous allons avoir plusieurs métaphores par le biais des animaux pour passer des messages très importants et je trouve ça vraiment bien amené: les préjugés et stéréotypes en sont le message principal, ce film dénonce le racisme et les discriminations ici amené par le fait de ne pas… more No likes yet"
5,"★★★★★","2026-01-18T11:20:33.520Z","★★★★★ Added by zain 18 Jan 2026 yaelah nikah lah rubah sm kelinci, air sama api aja bisa No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Watched by enekofournes 18 Jan 2026 zoophilie 🔛🔝 (surtout pendant la scene du yoga) No likes yet"
3.5,"★★★½","2026-01-18","★★★½ Watched by hgsutton13 18 Jan 2026 Rewatch for #2. Fun, cute, no complaints! No likes yet"
5,"★★★★★","2026-01-05","★★★★★ Watched by Seara 05 Jan 2026 SERUUUU I LOVE THE PET NAME No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Watched by JOEDINERO 18 Jan 2026 Honestly thought the fox was hotter than the bunny No likes yet"
4.5,"★★★★½","2026-01-17","★★★★½ Watched by imsiikra 17 Jan 2026 ikinci filme gidebilmek içim izledim NİYE İZLEMEMİŞİM Kİ BEN BUNUUU😭 ""yaaavvvvruumm"" 1 like"
4.5,"★★★★½","2026-01-18","★★★★½ Watched by amaraljfk 18 Jan 2026 como eu amoo desenhos No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by pelin 18 Jan 2026 2 Ben sanirim bir tilkiden hoslaniyorum 46 likes"
3.5,"★★★½","2026-01-18","★★★½ Rewatched by sommer 18 Jan 2026 I'LL KEEP ON MAKING THOSE NEW MISTAKES No likes yet"
3,"★★★","2026-01-18","★★★ Watched by FRNCS 18 Jan 2026 Sympa, mais je venais de regarder Le Robot Sauvage et j’en ai vraiment marre qu’on stigmatise les renards… Tout ce qu’ils veulent c’est de l’amour, bordel à queue. No likes yet"
,"","2026-01-18","Watched by Michael______ 18 Jan 2026 Day 18 of 365 of watching at least one movie a day for a year. When i was little i did not know that one scene was based on the godfather 2 likes"
3.5,"★★★½","2026-01-18","★★★½ Watched by syacatorss 18 Jan 2026 kelinci kalo ama rubah jadinya apaan yaa.... No likes yet"
4.5,"★★★★½","2026-01-18","★★★★½ Rewatched by Adam Ritchie 18 Jan 2026 Took my kids to see this in cinema.  Loved it more than they did.   Extremely adult themes and not really a kids animation even though it’s marketed for and to them.  Quite political and anti-establishment.   Voice cast and performances is the greatest of modern times. 1 like"
3,"★★★","2026-01-16","★★★ Watched by huangker 16 Jan 2026 so funny, watched it with the bosses kids and enjoyed it thoroughly No likes yet"
4,"★★★★","2026-01-17","★★★★ Rewatched by grace 17 Jan 2026 popular and true statement yeah the fox is hot No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Watched by Sparklyx 18 Jan 2026 THIS IS WHAT WE CALL A FIVE STAR MOVIE i sobbed when i watched this No likes yet"
4,"★★★★","2026-01-05","★★★★ Watched by fanfan0228 05 Jan 2026 est-ce que acab inclut les lapins trop mignons ??? 1 like"
4,"★★★★","2026-01-17","★★★★ Rewatched by miguelvaleerio 17 Jan 2026 Tiene acción, drama, comedia y amor, que más se le puede pedir. Está bien adaptada a niños y “Try Everything” es un temazo No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by Bilge Cetin 18 Jan 2026 Zootopia (2016) tells its story in a clearer and more natural way. The film uses its world to talk about discrimination without forcing the message on the audience. Judy’s character development feels honest, as we slowly see her lose her idealism and face the reality of the system she works in. Compared to the sequel, the first film relies more on storytelling and character moments, which makes its social message feel stronger and more effective. No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by Joz 18 Jan 2026 One of the more fun and adventurous Disney animated films of the past decade. 6 likes"
4,"★★★★","2026-01-17","★★★★ Rewatched by maiya 17 Jan 2026 1 you know i still haven’t seen the godfather but this is good enough  you’ll never guess what im seeing in the cinema 2 likes"
4,"★★★★","2026-01-18","★★★★ Rewatched by Lochie Pantazis 18 Jan 2026 Why is Shakira here No likes yet"
4,"★★★★","2026-01-18","★★★★ Rewatched by jay 18 Jan 2026 1 star off for shakira No likes yet"
3.5,"★★★½","2026-01-18","★★★½ Watched by medusaswig 18 Jan 2026 Socially acceptable Beastars that also got released during 2016’s furry craze 1 like"
5,"★★★★★","2026-01-18","★★★★★ Watched by 𝓚𝓲𝓷𝓰 𝓐𝓹𝓹𝓵𝓮 18 Jan 2026 2025.4.10 二刷很愉快 —— 2025年12月2日 因为第二部的上映，再加上近期配音的一些争吵，这几天又刷了一遍国语配音版（还记得小时候看电影只看国语版），但是看到一半还是忍不住切回原音了… 其实重刷最主要的原因是好想去电影院看第二部啊，但是完全没有时间好难过😭😭 No likes yet"
5,"★★★★★","2018-01-18","★★★★★ Watched by mochaswirl3 18 Jan 2018 Judy Hopps 🤤🤤🤤 No likes yet"
4,"★★★★","2026-01-18","★★★★ Rewatched by Noraa🪷 18 Jan 2026 pelos de punta No likes yet"
3,"★★★","2026-01-18","★★★ Watched by fatcoot 18 Jan 2026 Everyone’s thinking it… No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Watched by mey 18 Jan 2026 SERUUU DAN AGAK BAPER KECIL XIXI No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Watched by sweetsallys 18 Jan 2026 🫶🏻 JUDYY AND NICKKKK No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Rewatched by irem 18 Jan 2026 aktivist animasyon. 2. filmi daha izlemedim ama izlemek istiyorum cok alttan alttan mesaj veriyo super No likes yet"
