rating,date,comment,raw_word_count,language,clean_comment,year_month,clean_word_count,subjectivity_score
3.5,2025-12-09,"The animation is gorgeous, charatcers are great, and there are legitimately moments. Some of the themes suck- a girlboss cop causes racism while also fixing it. The allegories are muddled and it bashed you over the head with copaganda. I mean really, being oversealous giving parking tickets is presented as a noble act in one scene. Hopps tricks a guy into tresspassing and then extorts him. She mentions ways of getting around the need for warants. It is charmning on the surface, but if you actually analyze the story, it is rotten at its core.",95,en,animation gorgeous charatcers great legitimately moment theme suck girlboss cop cause racism also fixing allegory muddled bashed head copaganda mean really oversealous giving parking ticket presented noble act one scene hopps trick guy tresspassing extorts mention way getting around need warants charmning surface actually analyze story rotten core,2025-12,48,3.6508820395595163
2.0,2025-12-08,"I understand why this movie gets praised by everyone, but it is not for me. The story is kinda lame, the animation looks nothing special and some of the characters can be written better. There is a lot of praised about the theme of countering prejudices and stereotypes of animals because their are born with advantages and disadvantages, therefore it is something very unfounded as a theme using animals as metaphors. Most of the jokes didn't land and I like when Nick started to accept Judy, but I don't like the scene where Judy apologises to Nick, because it looked so ridiculous.",102,en,understand movie get praised everyone story kinda lame animation look nothing special character written better lot praised theme countering prejudice stereotype animal born advantage disadvantage therefore something unfounded theme using animal metaphor joke land like nick started accept judy like scene judy apologises nick looked ridiculous,2025-12,46,3.391223906621033
3.5,2025-12-08,A rare case of liking the sequel over the original. May have felt differently on this if I had seen it first.,22,en,rare case liking sequel original may felt differently seen first,2025-12,10,4.010872379882943
4.0,2025-12-08,"It’s a bright, bustling movie with a surprisingly layered mystery tucked beneath all the animal gags. The animation is top-tier—every corner of the city feels alive, and every character move sells the comedy. And it is genuinely funny, the kind of humor that sneaks up on you while the story quietly builds something heartfelt. What really makes it sing is how it blends optimism, social bite, and pure charm without ever feeling heavy-handed. It’s a high Disney-Pixar-caliber film that knows exactly what it’s doing: entertaining you while saying something real. Smart, warm, witty—Zootopia earns its four stars with style.",99,en,bright bustling movie surprisingly layered mystery tucked beneath animal gag animation top tier every corner city feel alive every character move sell comedy genuinely funny kind humor sneak story quietly build something heartfelt really make sing blend optimism social bite pure charm without ever feeling heavy handed high disney pixar caliber film know exactly entertaining saying something real smart warm witty zootopia earns four star style,2025-12,66,3.47238471871631
4.5,2025-12-08,"🏆93% Zootopia was probably my favorite Disney movie when it first came out, and it’s still my favorite even now. It’s definitely one of the more mature Disney films. It has some references to other movies and even some shows; there’s actually a reference to Breaking Bad in this, and I heard that in the second movie there will be even more references to other media than what this film has. Anyway, the best part of this movie is easily the dynamic between Nick and Judy. When I first watched the movie, I remember liking it because it was the first time a Disney movie actually shocked me with its twist villain, but it seems I completely forgot how good their dynamic was. I’m seeing Zootopia 2 tomorrow, I hope it’s at least almost as good as the first film!",140,en,zootopia probably favorite disney movie first came still favorite even definitely one mature disney film reference movie even show actually reference breaking bad heard second movie even reference medium film anyway best part movie easily dynamic nick judy first watched movie remember liking first time disney movie actually shocked twist villain seems completely forgot good dynamic seeing zootopia tomorrow hope least almost good first film,2025-12,65,4.507300161476503
4.0,2025-12-08,"Zootopia is a fast-paced fun animated film with some interesting nuanced themes. The characters are pretty well-written and a joy to watch. The dialogues and situations are funny. The themes are handled more maturely than I had initially expected, but they're still perfectly easy to handle for a child. The story is simple, but the twists are not too obvious and work well with the characters. The directing is good with a light-hearted tone. The cinematography is good enough and the pacing is great. The cast is good, but pretty weird, because when I heard a familiar voice, I couldn't place it. Zootopia is a lot of fun.",108,en,zootopia fast paced fun animated film interesting nuanced theme character pretty well written joy watch dialogue situation funny theme handled maturely initially expected still perfectly easy handle child story simple twist obvious work well character directing good light hearted tone cinematography good enough pacing great cast good pretty weird heard familiar voice place zootopia lot fun,2025-12,56,4.031411982572799
5.0,2025-12-07,"This movie manages to represent the topic racism while also making an amazing movie for kids. The plot was perfectly written, not to mention the details in this films deserves more recognition, especially the infrastructure seen being used in the city Zootopia itself. Overall, a great movie to see with anyone, especially children.",53,en,movie manages represent topic racism also making amazing movie kid plot perfectly written mention detail film deserves recognition especially infrastructure seen used city zootopia overall great movie see anyone especially child,2025-12,31,4.271679176891297
5.0,2025-12-06,"Truly a must see! Dare I say this is the best Disney sequal to be released in many years. Our kids have asked to see it again and I'd usually say we'll wait until the Disney+ release, but I'm happy to oblige them this time!",45,en,truly must see dare say best disney sequal released many year kid asked see usually say wait disney release happy oblige time,2025-12,22,4.16454921991243
5.0,2025-12-06,I waited so long to see Nick and Judy have some progress in their relationship but the slow burn is healing me. I love Zootopia so much it's like watching a romcom,32,en,waited long see nick judy progress relationship slow burn healing love zootopia much like watching romcom,2025-12,16,4.410825210675861
5.0,2025-12-06,Great movie！I‘ve already seen it twice！,6,en,great movie already seen twice,2025-12,5,3.696647722071505
5.0,2025-12-06,What a rare experience of a great sequel to a Disney Movie. I am very much looking forward to the next adventure of the two couples. Disney...Listen to your audience. This is a step forward.,35,en,rare experience great sequel disney movie much looking forward next adventure two couple disney listen audience step forward,2025-12,18,3.0925015949722683
5.0,2025-12-06,A brilliant story about following your dreams.,7,en,brilliant story following dream,2025-12,4,6.288999564245241
5.0,2025-12-05,The movie is like a new world to explore. The story plot is worth for the audience.,17,en,movie like new world explore story plot worth audience,2025-12,9,3.315378967441415
5.0,2025-12-05,Great movie by Disney! Jason Bateman and Ginnifer Goodwin are fantastic together!,12,en,great movie disney jason bateman ginnifer goodwin fantastic together,2025-12,9,4.412004805263674
2.0,2025-12-04,The plot is way worst than the first one. Suspense not strong enough at all. very disappointed.,17,en,plot way worst first one suspense strong enough disappointed,2025-12,9,3.101527398324926
5.0,2025-12-03,"This movie is way deeper than it looks. Funny, emotional, and surprisingly real. You should watch it at least once.",20,en,movie way deeper look funny emotional surprisingly real watch least,2025-12,10,4.737767290545925
3.0,2025-12-03,"It's creative and well made, but it was a little too dark for me for some reason.",17,en,creative well made little dark reason,2025-12,6,4.800040808893621
5.0,2025-12-03,"I love this ""incredibull"" world. Everything is so amazing, especially the ""Easter eggs"".",13,en,love incredibull world everything amazing especially easter egg,2025-12,8,7.120396500058247
4.5,2025-12-02,"Zootopia represents Disney Animation at the peak of its prowess. Bustling with energy, rich in Easter eggs, featuring a catchy theme song, and boasting character cultures that have transcended the film itself.",32,en,zootopia represents disney animation peak prowess bustling energy rich easter egg featuring catchy theme song boasting character culture transcended film,2025-12,20,2.7043659151561026
4.5,2025-12-02,"Pretty much a classic now, LIGHT to Decent 9",9,en,pretty much classic light decent,2025-12,5,7.808500020051367
5.0,2025-12-02,"Beautifully crafted, outrageously funny, and full of pure joy, ZOOTOPIA ranks extremely high as one of Disney’s best animated films since THE LION KING.",24,en,beautifully crafted outrageously funny full pure joy zootopia rank extremely high one disney best animated film since lion king,2025-12,19,3.3802241341599015
4.0,2025-12-01,Loved it. Awesome animation & story.,6,en,loved awesome animation story,2025-12,4,9.205569970580001
4.5,2025-12-01,Once your in zootopia you wanna go to Disneyland and California Adventure and capture the magic.,16,en,zootopia wanna go disneyland california adventure capture magic,2025-12,8,2.8067636495614257
5.0,2025-12-01,"An amazing movie! I would watch it again, if I have to.",12,en,amazing movie would watch,2025-12,4,4.555855880396016
5.0,2025-12-01,one of the best animated movies ever!,7,en,one best animated movie ever,2025-12,5,4.300843819808775
5.0,2025-12-01,one of Disney best animated movie,6,en,one disney best animated movie,2025-12,5,3.066951724155095
4.0,2025-11-30,It was a fantastic movie a little slow at the beginning but it picked up. It was a totally pawsome movie,21,en,fantastic movie little slow beginning picked totally pawsome movie,2025-11,9,5.916297843485083
4.5,2025-11-30,Is a good movie for all ages. I loved it and can’t wait for the second and third movie!!,19,en,good movie age loved wait second third movie,2025-11,8,4.120092183643765
4.5,2025-11-29,"This is probably my favorite Disney movie made after 2010, I will start this with i do definitely have a anthropomorphic character bias, but either way the storyline, plot, characters, animation, and voice acting was all on point, never once felt bored watching it, and a great plot finished with a great ending makes it even better, I've returned to this movie quite a few times, highly recommend it, for all ages as the comedy aspect definitely work for all ages, and it never really feels aggressively targeted towards kids directly if that makes sense, like the common tropes in kids movies that make them incredibly predictable because everything is always going right for the main cast? That isn't present here, Unlike some Disney movies (ifykyk). Short form, this is a amazing movie, top tier disney, and a wonderful family movie.",141,en,probably favorite disney movie made start definitely anthropomorphic character bias either way storyline plot character animation voice acting point never felt bored watching great plot finished great ending make even better returned movie quite time highly recommend age comedy aspect definitely work age never really feel aggressively targeted towards kid directly make sense like common trope kid movie make incredibly predictable everything always going right main cast present unlike disney movie ifykyk short form amazing movie top tier disney wonderful family movie,2025-11,82,4.309847994832428
3.5,2025-11-29,"One of the more funnier movies for Disney animation Fun story, fun characters, and fun music Overall solid Disney movie 9.5/10",21,en,one funnier movie disney animation fun story fun character fun music overall solid disney movie,2025-11,15,2.654905394507706
5.0,2025-11-29,i forced my dad to put zootopia on i love this movie cuz its funny,15,en,forced dad put zootopia love movie cuz funny,2025-11,8,5.368522008499561
4.0,2025-11-29,"Satisfying. I begin watching 'Zootopia' without much interest, unable to detect elements that truly catch my attention. The introduction of Nick Wilde (Jason Bateman) brings a completely different rhythm, with a presence that fills the screen. From that moment on, the story finds the right pace. The ensemble of characters serves solely to move the plot forward; they are merely tools for stitching the narrative together. The protagonists, Judy (Ginnifer Goodwin) and Nick (Jason Bateman), are the ones who carry all the emotional and narrative weight. They bring dynamism, memorable moments, and establish the essential connection with the audience. The plot feels slow at times, yet it remains interesting and enjoyable. The humor is well integrated and works for all audiences. It is one of those animated films that clearly embraces its identity as animation: it does not aim for realism but instead defines its characteristics with precision. It conveys a clear message of personal growth, showing that even when you feel out of place, it is still possible to carve out your own path. Behind all this is a team of writers, screenwriters, and directors capable of delivering a fresh, balanced, and well-crafted story. It is pleasant to watch. A highly recommended option within this genre, ideal for those seeking entertainment without overcomplicating things.",215,en,satisfying begin watching zootopia without much interest unable detect element truly catch attention introduction nick wilde jason bateman brings completely different rhythm presence fill screen moment story find right pace ensemble character serf solely move plot forward merely tool stitching narrative together protagonist judy ginnifer goodwin nick jason bateman one carry emotional narrative weight bring dynamism memorable moment establish essential connection audience plot feel slow time yet remains interesting enjoyable humor well integrated work audience one animated film clearly embrace identity animation aim realism instead defines characteristic precision conveys clear message personal growth showing even feel place still possible carve path behind team writer screenwriter director capable delivering fresh balanced well crafted story pleasant watch highly recommended option within genre ideal seeking entertainment without overcomplicating thing,2025-11,126,3.6564606125399313
5.0,2025-11-29,"Zootopia wasn’t just good, it was legendary. Disney nailed the mix of humor, heart, and sharp social themes, making Judy and Nick one of the most iconic duos in animation. The chemistry? Untouchable. The world-building? Next level. Honestly, it set the bar so high that most sequels could never compete.",50,en,zootopia good legendary disney nailed mix humor heart sharp social theme making judy nick one iconic duo animation chemistry untouchable world building next level honestly set bar high sequel could never compete,2025-11,32,3.6248552957418108
4.5,2025-11-28,Make the world a better place ~ Judy hopps,9,en,make world better place judy hopps,2025-11,6,2.911642218348392
4.5,2025-11-27,"Aside from an underwhelming twist villain, Zootopia stands out amongst a bunch of Disney’s Revival Era films as one that goes as far to tackle it’s racial discriminatory issues in the middle of an engaging buddy-cop adventure in the form of anthropomorphic animals in a Zoo-like utopia led by two charming leads with electric chemistry. The characters were charming and well-developed, each bringing a unique personality to the story. The humor was clever and appealing to a broad audience, and the film successfully conveyed important messages about tolerance, stereotypes, and perseverance. These elements combined to make Zootopia an engaging, thoughtful, and entertaining movie, even with the predictability of its villain twist. -flickswithmigs",112,en,aside underwhelming twist villain zootopia stand amongst bunch disney revival era film one go far tackle racial discriminatory issue middle engaging buddy cop adventure form anthropomorphic animal zoo like utopia led two charming lead electric chemistry character charming well developed bringing unique personality story humor clever appealing broad audience film successfully conveyed important message tolerance stereotype perseverance element combined make zootopia engaging thoughtful entertaining movie even predictability villain twist flickswithmigs,2025-11,70,3.3064567732267545
4.0,2025-11-27,"I like this movie. It’s very feel good, but I also feel like it was a little dramatic, especially with the primary dilemma. I know the point of the movie is to not be prejudiced against different groups, but the main characters are a little too dramatic about it. Of course, this movie is for kids, but still, there are ways it could improve. Watching it a second time made me realize it isn’t quite as funny as I remember. I’m excited to compare this to the second movie, which is coming out this weekend. This movie is definitely enjoyable though.",101,en,like movie feel good also feel like little dramatic especially primary dilemma know point movie prejudiced different group main character little dramatic course movie kid still way could improve watching second time made realize quite funny remember excited compare second movie coming weekend movie definitely enjoyable though,2025-11,47,3.4540702211167726
5.0,2025-11-27,Hilarious film with a well thought out message and great comedy bits that will be a classic for years to come,21,en,hilarious film well thought message great comedy bit classic year come,2025-11,11,5.46553510737481
5.0,2025-11-27,Amazing Disney movie.,3,en,amazing disney movie,2025-11,3,5.278290988141737
5.0,2025-11-26,"I saw Zootopia 1 numerous times and 3 days ago, my sister and I saw parts of Zootopia 1, but then my father came and told me it's time to go to sleep.",33,en,saw zootopia numerous time day ago sister saw part zootopia father came told time go sleep,2025-11,16,2.4074266685299395
5.0,2025-11-26,I love and appreciate this movie. I especially love the message of it. I look forward to Zootopia 2.,19,en,love appreciate movie especially love message look forward zootopia,2025-11,9,5.320705876349509
4.5,2025-11-26,One of the best animated movies in quite a while.,10,en,one best animated movie quite,2025-11,5,4.78562020939882
5.0,2025-11-26,"Very good movie, very Well thought. I'd love to see what the Sequel is about.",15,en,good movie well thought love see sequel,2025-11,7,3.9389609014508338
5.0,2025-11-26,I loved seeing the sloths the most.,7,en,loved seeing sloth,2025-11,3,6.844605082567786
5.0,2025-11-23,"Best movie ever! And ""Try Everything"" by Shakira is really a good song!",13,en,best movie ever try everything shakira really good song,2025-11,9,5.120512765449245
4.5,2025-11-19,jbruh no cap the rabbit bad,6,en,jbruh cap rabbit bad,2025-11,4,6.83609990669095
4.0,2025-11-17,"★★★★☆ Zootopia is that rare animated movie that works brilliantly as both a hilarious buddy-cop comedy for kids and a surprisingly sharp, layered allegory about prejudice, systemic bias, and the danger of fear-based politics for adults. The world-building is absolutely off the charts: a sprawling, fully realized metropolis where every district (from icy Tundratown to rainy Rainforest District) feels alive, detailed, and logically designed for animals of every size. The gag density is insane (the sloth DMV scene is still one of the funniest things ever animated), and the action sequences (especially the naturalist club chase and the climactic train fight) are genuinely thrilling. Judy Hopps is an all-timer protagonist: tiny, relentlessly optimistic, and forced to confront her own unconscious biases in ways that feel honest and earned. Nick Wilde’s slow journey from cynical hustler to proud cop is pure charm, and Ginnifer Goodwin and Jason Bateman have chemistry that leaps off the screen. Shakira’s ""Try Everything"" over the end credits still gives goosebumps every single time. It loses half a star only because the third-act ""big twist"" is a little convoluted and the villain’s motive feels a touch undercooked compared to the rest of the film’s nuance. Four stars: one for the laughs, one for the heart, one for the world you never want to leave, and one because it somehow made a story about predator-prey relations feel urgently relevant without ever preaching. Smart, gorgeous, endlessly rewatchable comfort food with a brain. 8/10. Welcome to Zootopia—population: one of the best animated movies of the 2010s. 🐰🦊🏙️❤️",257,en,zootopia rare animated movie work brilliantly hilarious buddy cop comedy kid surprisingly sharp layered allegory prejudice systemic bias danger fear based politics adult world building absolutely chart sprawling fully realized metropolis every district icy tundratown rainy rainforest district feel alive detailed logically designed animal every size gag density insane sloth dmv scene still one funniest thing ever animated action sequence especially naturalist club chase climactic train fight genuinely thrilling judy hopps timer protagonist tiny relentlessly optimistic forced confront unconscious bias way feel honest earned nick wilde slow journey cynical hustler proud cop pure charm ginnifer goodwin jason bateman chemistry leap screen shakira try everything end credit still give goosebump every single time loses half star third act big twist little convoluted villain motive feel touch undercooked compared rest film nuance four star one laugh one heart one world never want leave one somehow made story predator prey relation feel urgently relevant without ever preaching smart gorgeous endlessly rewatchable comfort food brain welcome zootopia population one best animated movie,2025-11,168,3.6101065991662047
4.5,2025-11-15,"I fell in love with the world of Zootopia and the characters with Flash the Sloth being my whole world. It’s a smart, adorable and endlessly fun family friendly movie ! full review om my Letterboxd - slayingfashion",38,en,fell love world zootopia character flash sloth whole world smart adorable endlessly fun family friendly movie full review om letterboxd slayingfashion,2025-11,21,3.8007178381850792
4.5,2025-11-10,"Interesting enough, ending villain was kind of predictable.",8,en,interesting enough ending villain kind predictable,2025-11,6,6.025629718056886
4.5,2025-11-02,"Excellent movie, the friendship between the two main characters is very well developed, the universe is great, and it's a very entertaining film.",23,en,excellent movie friendship two main character well developed universe great entertaining film,2025-11,12,4.456710143127905
0.5,2025-10-27,"Zootopia, produced by Walt Disney Animation Studios, is an animation with a rather cliché storyline but impressive animation techniques. In my opinion, the film carries a message that anyone can dream of being something different from what their DNA or genes suggest, and even choose to live according to that dream. Regardless of the positive aspects of this animation, I find this idea worth reflecting on from another perspective: What kind of inner feeling would a person eventually face if they keep trying to become something completely different from who they truly are?",93,en,zootopia produced walt disney animation studio animation rather clich storyline impressive animation technique opinion film carry message anyone dream something different dna gene suggest even choose live according dream regardless positive aspect animation find idea worth reflecting another perspective kind inner feeling would person eventually face keep trying become something completely different truly,2025-10,53,3.4799702686553844
5.0,2025-10-19,Judy Hopps Is My Favourite Character From This Movie.,9,en,judy hopps favourite character movie,2025-10,5,1.7457865819239178
5.0,2025-10-05,You should watch it's one of my favorites about animals,10,en,watch one favorite animal,2025-10,4,5.26801851286201
5.0,2025-09-24,It features a diverse array of animals and characters. They have episodes on Disney that feature other characters and reveal more about their personalities. My favorite episode is the reality show because it is so dramatic and talks about Fru Fru's cousin and her wedding!!!!!!,45,en,feature diverse array animal character episode disney feature character reveal personality favorite episode reality show dramatic talk fru fru cousin wedding,2025-09,21,3.452377537560441
1.5,2025-09-19,"Not the best animated movie, but watchable. The animation is great and its got some funny moments, but the twist made no sense and the story feels confusing and feels too brutal for a Disney movie. Plus, I hated Judy and Nick as both of them, to me, were unlikeable protagonists; Judy is arrogant and Nick is selfish. Also, some of the fanbases for this film that I found were very toxic.",72,en,best animated movie watchable animation great got funny moment twist made sense story feel confusing feel brutal disney movie plus hated judy nick unlikeable protagonist judy arrogant nick selfish also fanbases film found toxic,2025-09,34,3.2880333595493703
5.0,2025-09-14,Can't wait for the sequel. When I was younger I LOVED this movie! Still one of my favourite movies to this day.,22,en,wait sequel younger loved movie still one favourite movie day,2025-09,10,3.345623854895918
5.0,2025-08-29,"This movie is so good and so clever, Judy is a baddy for a bunny🤍11/10",15,en,movie good clever judy baddy bunny,2025-08,6,2.6364612251079813
5.0,2025-08-26,"Zootopia is a classic. I can't really name a myth if bad about it with it being entertaining, the sound track being pretty ok, but this movie is amazing!",29,en,zootopia classic really name myth bad entertaining sound track pretty ok movie amazing,2025-08,13,7.585255168336241
5.0,2025-08-26,absolutely cannot wait for 2. just rewatched and still got tons of clever fun jokes paired with that typical beautiful disney animation,22,en,absolutely cannot wait rewatched still got ton clever fun joke paired typical beautiful disney animation,2025-08,15,5.66406545723152
5.0,2025-08-21,"Presenting a simple idea and gradually developing it in a manner that evokes the spontaneity of a child’s imagination, while simultaneously engaging the adult viewer, constitutes one of the fundamental pillars of timeless cinema. This delicate balance between simplicity and depth—rarely achieved even by the most accomplished filmmakers—manifests in this film with remarkable finesse, crafting an artistic equation that combines narrative fluidity with semantic richness, all without lapsing into affectation or excess.",72,en,presenting simple idea gradually developing manner evokes spontaneity child imagination simultaneously engaging adult viewer constitutes one fundamental pillar timeless cinema delicate balance simplicity depth rarely achieved even accomplished filmmaker manifest film remarkable finesse crafting artistic equation combine narrative fluidity semantic richness without lapsing affectation excess,2025-08,45,3.4327360367606263
4.5,2025-08-12,"Zootopia has a powerful and important message, all while being mysterious and funny. In addition to that, it’s also got incredibly good animation. It’s a much better movie than The Maltese Falcon, and it’s no wonder why it’s considered one of the best Disney movies.",45,en,zootopia powerful important message mysterious funny addition also got incredibly good animation much better movie maltese falcon wonder considered one best disney movie,2025-08,23,4.819613272206921
5.0,2025-08-10,"An incredibly fun, exciting, and engaging movie with appealing characters, sharp humor, and moments that stay with you long after it’s over. It deserves far more recognition than its already impressive $1 billion box office. A true comedy gem that balances laughs with memorable storytelling, making it an absolute joy to watch from start to finish.",56,en,incredibly fun exciting engaging movie appealing character sharp humor moment stay long deserves far recognition already impressive billion box office true comedy gem balance laugh memorable storytelling making absolute joy watch start finish,2025-08,33,3.269832904352617
4.0,2025-08-09,"I didn't Think that It was a detective movie in 1/3 of the movie,my favorite part was the detective part and generaly the worldbulding was incredible,but Judy's interviene isn't much of a Great point tò get Nick ti abbandone her 8.5/10",41,en,think detective movie movie favorite part detective part generaly worldbulding incredible judy interviene much great point get nick ti abbandone,2025-08,20,4.687302942547502
