rating,date,comment,raw_word_count,language,clean_comment,year_month,clean_word_count
5.0,2025-12-06,"Truly a must see! Dare I say this is the best Disney sequal to be released in many years. Our kids have asked to see it again and I'd usually say we'll wait until the Disney+ release, but I'm happy to oblige them this time!",45,en,truly must see dare say best disney sequal released many year kid asked see usually say wait disney release happy oblige time,2025-12,22
5.0,2025-12-06,I waited so long to see Nick and Judy have some progress in their relationship but the slow burn is healing me. I love Zootopia so much it's like watching a romcom,32,en,waited long see nick judy progress relationship slow burn healing love zootopia much like watching romcom,2025-12,16
5.0,2025-12-06,Great movie！I‘ve already seen it twice！,6,en,great movie already seen twice,2025-12,5
5.0,2025-12-06,What a rare experience of a great sequel to a Disney Movie. I am very much looking forward to the next adventure of the two couples. Disney...Listen to your audience. This is a step forward.,35,en,rare experience great sequel disney movie much looking forward next adventure two couple disney listen audience step forward,2025-12,18
5.0,2025-12-06,A brilliant story about following your dreams.,7,en,brilliant story following dream,2025-12,4
5.0,2025-12-05,The movie is like a new world to explore. The story plot is worth for the audience.,17,en,movie like new world explore story plot worth audience,2025-12,9
5.0,2025-12-05,Great movie by Disney! Jason Bateman and Ginnifer Goodwin are fantastic together!,12,en,great movie disney jason bateman ginnifer goodwin fantastic together,2025-12,9
2.0,2025-12-04,The plot is way worst than the first one. Suspense not strong enough at all. very disappointed.,17,en,plot way worst first one suspense strong enough disappointed,2025-12,9
5.0,2025-12-03,"This movie is way deeper than it looks. Funny, emotional, and surprisingly real. You should watch it at least once.",20,en,movie way deeper look funny emotional surprisingly real watch least,2025-12,10
3.0,2025-12-03,"It's creative and well made, but it was a little too dark for me for some reason.",17,en,creative well made little dark reason,2025-12,6
